('Wszyscy', 'Plytki przygotowane do gry')
('Gracz1', 'Remove tile in cell 00')
('Gracz1', 'Remove tile in cell 01')
('Gracz1', 'Remove tile in cell 02')
('Gracz1', 'Remove tile in cell 03')
('Gracz1', 'Remove tile in cell 04')
('Gracz1', 'Remove tile in cell 05')
('Gracz1', 'Remove tile in cell 06')
('Gracz1', 'Remove tile in cell 07')
('Gracz1', 'Remove tile in cell 08')
('Gracz1', 'Remove tile in cell 09')
('Gracz1', 'Remove tile in cell 010')
('Gracz1', 'Remove tile in cell 011')
('Gracz1', 'Remove tile in cell 012')
('Gracz1', 'Remove tile in cell 013')
('Gracz1', 'Remove tile in cell 014')
('Gracz1', 'Remove tile in cell 015')
('Gracz1', 'Remove tile in cell 016')
('Gracz1', 'Remove tile in cell 017')
('Gracz1', 'Remove tile in cell 018')
('Gracz1', 'Remove tile in cell 019')
('Gracz1', 'Remove tile in cell 020')
('Gracz1', 'Remove tile in cell 021')
('Gracz1', 'Remove tile in cell 022')
('Gracz1', 'Remove tile in cell 023')
('Gracz1', 'Remove tile in cell 024')
('Gracz1', 'Remove tile in cell 025')
('Gracz1', 'Remove tile in cell 026')
('Gracz1', 'Remove tile in cell 027')
('Gracz1', 'Remove tile in cell 028')
('Gracz1', 'Remove tile in cell 029')
('Gracz1', 'Remove tile in cell 10')
('Gracz1', 'Remove tile in cell 11')
('Gracz1', 'Remove tile in cell 12')
('Gracz1', 'Remove tile in cell 13')
('Gracz1', 'Remove tile in cell 14')
('Gracz1', 'Remove tile in cell 15')
('Gracz1', 'Remove tile in cell 16')
('Gracz1', 'Remove tile in cell 17')
('Gracz1', 'Remove tile in cell 18')
('Gracz1', 'Remove tile in cell 19')
('Gracz1', 'Remove tile in cell 110')
('Gracz1', 'Remove tile in cell 111')
('Gracz1', 'Remove tile in cell 112')
('Gracz1', 'Remove tile in cell 113')
('Gracz1', 'Remove tile in cell 114')
('Gracz1', 'Remove tile in cell 115')
('Gracz1', 'Remove tile in cell 116')
('Gracz1', 'Remove tile in cell 117')
('Gracz1', 'Remove tile in cell 118')
('Gracz1', 'Remove tile in cell 119')
('Gracz1', 'Remove tile in cell 120')
('Gracz1', 'Remove tile in cell 121')
('Gracz1', 'Remove tile in cell 122')
('Gracz1', 'Remove tile in cell 123')
