
Plytki sa przygotowane, pomieszane w worku
 dobieranie plytki. Jest to : blue2
 dobieranie plytki. Jest to : yellow4
 dobieranie plytki. Jest to : blue6
 dobieranie plytki. Jest to : red7
 dobieranie plytki. Jest to : red13
 dobieranie plytki. Jest to : black3
 dobieranie plytki. Jest to : red5
 dobieranie plytki. Jest to : red11
 dobieranie plytki. Jest to : yellow2
 dobieranie plytki. Jest to : black3
 dobieranie plytki. Jest to : black9
 dobieranie plytki. Jest to : yellow9
 dobieranie plytki. Jest to : blue13
 dobieranie plytki. Jest to : yellow6
 dobieranie plytki. Jest to : blue11
 dobieranie plytki. Jest to : red13
 dobieranie plytki. Jest to : black6
 dobieranie plytki. Jest to : blue8
 dobieranie plytki. Jest to : black8
 dobieranie plytki. Jest to : yellow10
 dobieranie plytki. Jest to : black2
 dobieranie plytki. Jest to : red6
 dobieranie plytki. Jest to : yellow1
 dobieranie plytki. Jest to : yellow11
 dobieranie plytki. Jest to : red2
 dobieranie plytki. Jest to : yellow3
 dobieranie plytki. Jest to : blue7
 dobieranie plytki. Jest to : black13
 dobieranie plytki. Jest to : black7
 dobieranie plytki. Jest to : black5
 dobieranie plytki. Jest to : yellow10
 dobieranie plytki. Jest to : blue7
 dobieranie plytki. Jest to : black4
 dobieranie plytki. Jest to : blue4
 dobieranie plytki. Jest to : black12
 dobieranie plytki. Jest to : blue10
 dobieranie plytki. Jest to : black2
 dobieranie plytki. Jest to : red9
 dobieranie plytki. Jest to : blue12
 dobieranie plytki. Jest to : blue4
 dobieranie plytki. Jest to : blue5
 dobieranie plytki. Jest to : blue8
 dobieranie plytki. Jest to : blue2
 dobieranie plytki. Jest to : red8
 dobieranie plytki. Jest to : black1
 dobieranie plytki. Jest to : yellow1
 dobieranie plytki. Jest to : black6
 dobieranie plytki. Jest to : yellow3
 dobieranie plytki. Jest to : black9
 dobieranie plytki. Jest to : black13
 dobieranie plytki. Jest to : black12
 dobieranie plytki. Jest to : black10
 dobieranie plytki. Jest to : blue12
 dobieranie plytki. Jest to : yellow8
 dobieranie plytki. Jest to : red9
 dobieranie plytki. Jest to : yellow7
 dobieranie plytki. Jest to : black4
 dobieranie plytki. Jest to : red3
 dobieranie plytki. Jest to : yellow6
 dobieranie plytki. Jest to : red12
